datetime,station_id,PM2.5,PM10,NOx,O3,CO,HR,NO,NO2,TMP,PB,PP,RS,station_name,state_code,municipio_code,altitude,lat,lon,timezone
2021-09-12,425,9.181818181818182,23.916666666666668,0.0085208333333333,0.0322916666666666,1.2025,52.375,0.0033583333333333,0.0071791666666666,27.98,713.9458333333333,0.0058333333333333,176.29166666666666,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-13,425,9.157894736842104,32.583333333333336,0.0175541666666666,0.01925,1.38875,57.958333333333336,0.0102958333333333,0.00925,27.86375,712.3375,0.00125,132.04166666666666,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-14,425,12.954545454545457,36.78260869565217,0.012491304347826,0.0383478260869565,1.3569565217391304,53.43478260869565,0.0048869565217391,0.0096173913043478,29.58217391304348,710.4173913043478,0.0,156.2173913043478,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-15,425,13.173913043478262,42.47826086956522,0.0203695652173913,0.0227826086956521,1.4578260869565218,55.56521739130435,0.0105782608695652,0.011795652173913,28.98304347826087,709.6347826086957,0.0,171.34782608695653,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-16,425,14.909090909090908,34.5,0.0115166666666666,0.0231666666666666,1.2770833333333331,61.958333333333336,0.0039708333333333,0.0095541666666666,27.32166666666667,710.8333333333334,0.0,114.08333333333331,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-17,425,16.458333333333332,49.16666666666666,0.0153666666666666,0.0258333333333333,1.4275,57.75,0.0068583333333333,0.0104958333333333,28.848333333333333,712.2208333333333,0.0,169.41666666666666,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-18,425,19.61904761904762,47.72727272727273,0.0152727272727272,0.0280454545454545,1.3672727272727272,49.63636363636363,0.0074,0.0098727272727272,30.09590909090909,713.2454545454545,0.0,148.16666666666666,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-19,425,11.875,32.708333333333336,0.0106208333333333,0.0307916666666666,1.325416666666667,47.5,0.0045625,0.0080791666666666,29.97583333333333,711.7791666666667,0.0,173.625,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-20,425,17.083333333333332,49.833333333333336,0.0168875,0.0297083333333333,1.5079166666666666,47.083333333333336,0.0082708333333333,0.0106083333333333,30.887500000000003,710.3041666666667,0.0,170.95833333333334,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
2021-09-21,425,21.954545454545453,56.29166666666666,0.0158541666666666,0.02575,1.4283333333333337,52.333333333333336,0.0071583333333333,0.0106916666666666,30.000416666666663,713.4791666666666,0.155,151.66666666666666,Universidad,0.0,0.0,517.0,25.73,-100.30972222222,"Tiempo del centro, UTC-6 (UTC-5 en verano)"
